Election District,County,Borough,Assembly District,City Council District
046/51,Kings,Brooklyn,51,39
047/51,Kings,Brooklyn,51,43
048/51,Kings,Brooklyn,51,38
049/51,Kings,Brooklyn,51,38
050/51,Kings,Brooklyn,51,38
051/51,Kings,Brooklyn,51,38
052/51,Kings,Brooklyn,51,38
053/51,Kings,Brooklyn,51,38
054/51,Kings,Brooklyn,51,38
055/51,Kings,Brooklyn,51,38
056/51,Kings,Brooklyn,51,38
057/51,Kings,Brooklyn,51,38
058/51,Kings,Brooklyn,51,38
059/51,Kings,Brooklyn,51,43
060/51,Kings,Brooklyn,51,43
061/51,Kings,Brooklyn,51,43
062/51,Kings,Brooklyn,51,43
063/51,Kings,Brooklyn,51,38
064/51,Kings,Brooklyn,51,38
065/51,Kings,Brooklyn,51,38
066/51,Kings,Brooklyn,51,38
067/51,Kings,Brooklyn,51,38
068/51,Kings,Brooklyn,51,38
069/51,Kings,Brooklyn,51,38
070/51,Kings,Brooklyn,51,38
071/51,Kings,Brooklyn,51,38
072/51,Kings,Brooklyn,51,38
073/51,Kings,Brooklyn,51,38
074/51,Kings,Brooklyn,51,38
075/51,Kings,Brooklyn,51,38
076/51,Kings,Brooklyn,51,43
077/51,Kings,Brooklyn,51,43
078/51,Kings,Brooklyn,51,38
079/51,Kings,Brooklyn,51,38
080/51,Kings,Brooklyn,51,38
081/51,Kings,Brooklyn,51,38
082/51,Kings,Brooklyn,51,38
083/51,Kings,Brooklyn,51,38
001/52,Kings,Brooklyn,52,33
002/52,Kings,Brooklyn,52,33
003/52,Kings,Brooklyn,52,35
004/52,Kings,Brooklyn,52,33
005/52,Kings,Brooklyn,52,33
006/52,Kings,Brooklyn,52,33
007/52,Kings,Brooklyn,52,33
008/52,Kings,Brooklyn,52,33
009/52,Kings,Brooklyn,52,33
010/52,Kings,Brooklyn,52,33
011/52,Kings,Brooklyn,52,33
012/52,Kings,Brooklyn,52,33
013/52,Kings,Brooklyn,52,33
014/52,Kings,Brooklyn,52,33
015/52,Kings,Brooklyn,52,33
016/52,Kings,Brooklyn,52,33
017/52,Kings,Brooklyn,52,33
018/52,Kings,Brooklyn,52,33
019/52,Kings,Brooklyn,52,33
020/52,Kings,Brooklyn,52,33
021/52,Kings,Brooklyn,52,38
022/52,Kings,Brooklyn,52,33
023/52,Kings,Brooklyn,52,33
024/52,Kings,Brooklyn,52,33
025/52,Kings,Brooklyn,52,33
026/52,Kings,Brooklyn,52,39
027/52,Kings,Brooklyn,52,33
028/52,Kings,Brooklyn,52,33
029/52,Kings,Brooklyn,52,33
030/52,Kings,Brooklyn,52,33
031/52,Kings,Brooklyn,52,33
032/52,Kings,Brooklyn,52,33
033/52,Kings,Brooklyn,52,33
034/52,Kings,Brooklyn,52,33
035/52,Kings,Brooklyn,52,39
036/52,Kings,Brooklyn,52,39
037/52,Kings,Brooklyn,52,39
038/52,Kings,Brooklyn,52,39
039/52,Kings,Brooklyn,52,39
040/52,Kings,Brooklyn,52,39
041/52,Kings,Brooklyn,52,39
042/52,Kings,Brooklyn,52,39
043/52,Kings,Brooklyn,52,39
044/52,Kings,Brooklyn,52,39
045/52,Kings,Brooklyn,52,39
046/52,Kings,Brooklyn,52,39
047/52,Kings,Brooklyn,52,39
048/52,Kings,Brooklyn,52,33
049/52,Kings,Brooklyn,52,33
050/52,Kings,Brooklyn,52,33
051/52,Kings,Brooklyn,52,33
052/52,Kings,Brooklyn,52,33
053/52,Kings,Brooklyn,52,33
054/52,Kings,Brooklyn,52,33
055/52,Kings,Brooklyn,52,33
056/52,Kings,Brooklyn,52,33
057/52,Kings,Brooklyn,52,39
058/52,Kings,Brooklyn,52,39
059/52,Kings,Brooklyn,52,39
060/52,Kings,Brooklyn,52,39
061/52,Kings,Brooklyn,52,39
062/52,Kings,Brooklyn,52,39
063/52,Kings,Brooklyn,52,35
064/52,Kings,Brooklyn,52,39
065/52,Kings,Brooklyn,52,39
066/52,Kings,Brooklyn,52,39
067/52,Kings,Brooklyn,52,39
068/52,Kings,Brooklyn,52,39
069/52,Kings,Brooklyn,52,39
070/52,Kings,Brooklyn,52,39
071/52,Kings,Brooklyn,52,39
072/52,Kings,Brooklyn,52,39
073/52,Kings,Brooklyn,52,35
074/52,Kings,Brooklyn,52,35
075/52,Kings,Brooklyn,52,35
076/52,Kings,Brooklyn,52,39
077/52,Kings,Brooklyn,52,38
078/52,Kings,Brooklyn,52,39
079/52,Kings,Brooklyn,52,39
080/52,Kings,Brooklyn,52,39
081/52,Kings,Brooklyn,52,39
082/52,Kings,Brooklyn,52,39
083/52,Kings,Brooklyn,52,39
084/52,Kings,Brooklyn,52,39
085/52,Kings,Brooklyn,52,39
086/52,Kings,Brooklyn,52,39
087/52,Kings,Brooklyn,52,39
088/52,Kings,Brooklyn,52,39
089/52,Kings,Brooklyn,52,39
090/52,Kings,Brooklyn,52,39
091/52,Kings,Brooklyn,52,39
092/52,Kings,Brooklyn,52,39
093/52,Kings,Brooklyn,52,39
094/52,Kings,Brooklyn,52,39
095/52,Kings,Brooklyn,52,39
096/52,Kings,Brooklyn,52,39
097/52,Kings,Brooklyn,52,39
098/52,Kings,Brooklyn,52,39
099/52,Kings,Brooklyn,52,39
100/52,Kings,Brooklyn,52,39
101/52,Kings,Brooklyn,52,39
102/52,Kings,Brooklyn,52,33
103/52,Kings,Brooklyn,52,39
104/52,Kings,Brooklyn,52,33
105/52,Kings,Brooklyn,52,33
106/52,Kings,Brooklyn,52,38
107/52,Kings,Brooklyn,52,33
108/52,Kings,Brooklyn,52,33
109/52,Kings,Brooklyn,52,33
110/52,Kings,Brooklyn,52,39
111/52,Kings,Brooklyn,52,39
112/52,Kings,Brooklyn,52,39
113/52,Kings,Brooklyn,52,35
114/52,Kings,Brooklyn,52,39
115/52,Kings,Brooklyn,52,33
116/52,Kings,Brooklyn,52,39
117/52,Kings,Brooklyn,52,33
118/52,Kings,Brooklyn,52,38
119/52,Kings,Brooklyn,52,39
001/53,Kings,Brooklyn,53,34
002/53,Kings,Brooklyn,53,34
003/53,Kings,Brooklyn,53,34
004/53,Kings,Brooklyn,53,34
005/53,Kings,Brooklyn,53,34
006/53,Kings,Brooklyn,53,34
007/53,Kings,Brooklyn,53,34
008/53,Kings,Brooklyn,53,34
009/53,Kings,Brooklyn,53,34
010/53,Kings,Brooklyn,53,34
011/53,Kings,Brooklyn,53,34
012/53,Kings,Brooklyn,53,34
013/53,Kings,Brooklyn,53,34
014/53,Kings,Brooklyn,53,34
015/53,Kings,Brooklyn,53,34
016/53,Kings,Brooklyn,53,34
017/53,Kings,Brooklyn,53,34
018/53,Kings,Brooklyn,53,34
019/53,Kings,Brooklyn,53,34
020/53,Kings,Brooklyn,53,34
021/53,Kings,Brooklyn,53,34
022/53,Kings,Brooklyn,53,34
023/53,Kings,Brooklyn,53,34
024/53,Kings,Brooklyn,53,34
025/53,Kings,Brooklyn,53,34
026/53,Kings,Brooklyn,53,34
027/53,Kings,Brooklyn,53,34
028/53,Kings,Brooklyn,53,34
029/53,Kings,Brooklyn,53,34
030/53,Kings,Brooklyn,53,34
031/53,Kings,Brooklyn,53,34
032/53,Kings,Brooklyn,53,34
033/53,Kings,Brooklyn,53,34
034/53,Kings,Brooklyn,53,34
035/53,Kings,Brooklyn,53,34
036/53,Kings,Brooklyn,53,34
037/53,Kings,Brooklyn,53,34
038/53,Kings,Brooklyn,53,34
039/53,Kings,Brooklyn,53,34
040/53,Kings,Brooklyn,53,34
041/53,Kings,Brooklyn,53,34
042/53,Kings,Brooklyn,53,34
043/53,Kings,Brooklyn,53,34
044/53,Kings,Brooklyn,53,34
045/53,Kings,Brooklyn,53,34
046/53,Kings,Brooklyn,53,34
047/53,Kings,Brooklyn,53,34
048/53,Kings,Brooklyn,53,34
049/53,Kings,Brooklyn,53,36
050/53,Kings,Brooklyn,53,37
051/53,Kings,Brooklyn,53,34
052/53,Kings,Brooklyn,53,34
053/53,Kings,Brooklyn,53,34
054/53,Kings,Brooklyn,53,34
055/53,Kings,Brooklyn,53,34
056/53,Kings,Brooklyn,53,34
057/53,Kings,Brooklyn,53,34
058/53,Kings,Brooklyn,53,34
059/53,Kings,Brooklyn,53,34
060/53,Kings,Brooklyn,53,34
061/53,Kings,Brooklyn,53,34
062/53,Kings,Brooklyn,53,34
063/53,Kings,Brooklyn,53,37
064/53,Kings,Brooklyn,53,37
065/53,Kings,Brooklyn,53,37
066/53,Kings,Brooklyn,53,37
067/53,Kings,Brooklyn,53,37
068/53,Kings,Brooklyn,53,37
069/53,Kings,Brooklyn,53,37
070/53,Kings,Brooklyn,53,37
071/53,Kings,Brooklyn,53,37
072/53,Kings,Brooklyn,53,37
073/53,Kings,Brooklyn,53,37
074/53,Kings,Brooklyn,53,37
075/53,Kings,Brooklyn,53,37
076/53,Kings,Brooklyn,53,37
077/53,Kings,Brooklyn,53,37
078/53,Kings,Brooklyn,53,33
079/53,Kings,Brooklyn,53,33
080/53,Kings,Brooklyn,53,36
081/53,Kings,Brooklyn,53,34
082/53,Kings,Brooklyn,53,37
083/53,Kings,Brooklyn,53,34
084/53,Kings,Brooklyn,53,34
085/53,Kings,Brooklyn,53,34
086/53,Kings,Brooklyn,53,34
087/53,Kings,Brooklyn,53,34
088/53,Kings,Brooklyn,53,34
001/54,Kings,Brooklyn,54,42
002/54,Kings,Brooklyn,54,37
003/54,Kings,Brooklyn,54,37
004/54,Kings,Brooklyn,54,37
005/54,Kings,Brooklyn,54,42
006/54,Kings,Brooklyn,54,37
007/54,Kings,Brooklyn,54,36
008/54,Kings,Brooklyn,54,36
009/54,Kings,Brooklyn,54,36
010/54,Kings,Brooklyn,54,36
011/54,Kings,Brooklyn,54,36
012/54,Kings,Brooklyn,54,36
013/54,Kings,Brooklyn,54,34
014/54,Kings,Brooklyn,54,36
015/54,Kings,Brooklyn,54,36
016/54,Kings,Brooklyn,54,36
017/54,Kings,Brooklyn,54,36
018/54,Kings,Brooklyn,54,41
019/54,Kings,Brooklyn,54,34
020/54,Kings,Brooklyn,54,34
021/54,Kings,Brooklyn,54,34
022/54,Kings,Brooklyn,54,34
023/54,Kings,Brooklyn,54,34
024/54,Kings,Brooklyn,54,34
025/54,Kings,Brooklyn,54,34
026/54,Kings,Brooklyn,54,41
027/54,Kings,Brooklyn,54,34
028/54,Kings,Brooklyn,54,34
029/54,Kings,Brooklyn,54,34
030/54,Kings,Brooklyn,54,37
031/54,Kings,Brooklyn,54,37
032/54,Kings,Brooklyn,54,37
033/54,Kings,Brooklyn,54,37
034/54,Kings,Brooklyn,54,37
035/54,Kings,Brooklyn,54,37
036/54,Kings,Brooklyn,54,37
037/54,Kings,Brooklyn,54,37
038/54,Kings,Brooklyn,54,37
039/54,Kings,Brooklyn,54,37
040/54,Kings,Brooklyn,54,37
041/54,Kings,Brooklyn,54,37
042/54,Kings,Brooklyn,54,37
043/54,Kings,Brooklyn,54,37
044/54,Kings,Brooklyn,54,37
045/54,Kings,Brooklyn,54,37
046/54,Kings,Brooklyn,54,37
047/54,Kings,Brooklyn,54,37
048/54,Kings,Brooklyn,54,37
049/54,Kings,Brooklyn,54,37
050/54,Kings,Brooklyn,54,37
051/54,Kings,Brooklyn,54,37
052/54,Kings,Brooklyn,54,37
053/54,Kings,Brooklyn,54,37
054/54,Kings,Brooklyn,54,37
055/54,Kings,Brooklyn,54,37
056/54,Kings,Brooklyn,54,37
057/54,Kings,Brooklyn,54,37
058/54,Kings,Brooklyn,54,37
059/54,Kings,Brooklyn,54,37
060/54,Kings,Brooklyn,54,37
061/54,Kings,Brooklyn,54,37
062/54,Kings,Brooklyn,54,37
063/54,Kings,Brooklyn,54,37
064/54,Kings,Brooklyn,54,37
065/54,Kings,Brooklyn,54,37
066/54,Kings,Brooklyn,54,37
067/54,Kings,Brooklyn,54,37
068/54,Kings,Brooklyn,54,37
069/54,Kings,Brooklyn,54,37
070/54,Kings,Brooklyn,54,37
071/54,Kings,Brooklyn,54,37
072/54,Kings,Brooklyn,54,42
073/54,Kings,Brooklyn,54,37
074/54,Kings,Brooklyn,54,37
075/54,Kings,Brooklyn,54,42
076/54,Kings,Brooklyn,54,36
077/54,Kings,Brooklyn,54,34
079/54,Kings,Brooklyn,54,37
080/54,Kings,Brooklyn,54,37
081/54,Kings,Brooklyn,54,37
082/54,Kings,Brooklyn,54,37
083/54,Kings,Brooklyn,54,37
084/54,Kings,Brooklyn,54,34
085/54,Kings,Brooklyn,54,37
086/54,Kings,Brooklyn,54,37
087/54,Kings,Brooklyn,54,37
088/54,Kings,Brooklyn,54,37
089/54,Kings,Brooklyn,54,37
001/55,Kings,Brooklyn,55,41
002/55,Kings,Brooklyn,55,41
003/55,Kings,Brooklyn,55,41
004/55,Kings,Brooklyn,55,41
005/55,Kings,Brooklyn,55,41
006/55,Kings,Brooklyn,55,41
007/55,Kings,Brooklyn,55,37
008/55,Kings,Brooklyn,55,41
009/55,Kings,Brooklyn,55,41
010/55,Kings,Brooklyn,55,41
011/55,Kings,Brooklyn,55,41
012/55,Kings,Brooklyn,55,41
013/55,Kings,Brooklyn,55,42
014/55,Kings,Brooklyn,55,37
015/55,Kings,Brooklyn,55,37
016/55,Kings,Brooklyn,55,37
017/55,Kings,Brooklyn,55,37
018/55,Kings,Brooklyn,55,41
019/55,Kings,Brooklyn,55,41
020/55,Kings,Brooklyn,55,41
021/55,Kings,Brooklyn,55,41
022/55,Kings,Brooklyn,55,41
023/55,Kings,Brooklyn,55,41
024/55,Kings,Brooklyn,55,41
025/55,Kings,Brooklyn,55,37
026/55,Kings,Brooklyn,55,37
027/55,Kings,Brooklyn,55,37
028/55,Kings,Brooklyn,55,37
029/55,Kings,Brooklyn,55,37
030/55,Kings,Brooklyn,55,41
031/55,Kings,Brooklyn,55,41
032/55,Kings,Brooklyn,55,41
033/55,Kings,Brooklyn,55,41
034/55,Kings,Brooklyn,55,41
035/55,Kings,Brooklyn,55,41
036/55,Kings,Brooklyn,55,41
037/55,Kings,Brooklyn,55,37
038/55,Kings,Brooklyn,55,37
039/55,Kings,Brooklyn,55,37
040/55,Kings,Brooklyn,55,37
041/55,Kings,Brooklyn,55,37
042/55,Kings,Brooklyn,55,37
043/55,Kings,Brooklyn,55,37
044/55,Kings,Brooklyn,55,37
045/55,Kings,Brooklyn,55,37
046/55,Kings,Brooklyn,55,37
047/55,Kings,Brooklyn,55,37
048/55,Kings,Brooklyn,55,37
049/55,Kings,Brooklyn,55,37
050/55,Kings,Brooklyn,55,37
051/55,Kings,Brooklyn,55,37
052/55,Kings,Brooklyn,55,42
053/55,Kings,Brooklyn,55,41
054/55,Kings,Brooklyn,55,37
055/55,Kings,Brooklyn,55,37
056/55,Kings,Brooklyn,55,41
057/55,Kings,Brooklyn,55,41
058/55,Kings,Brooklyn,55,41
059/55,Kings,Brooklyn,55,41
060/55,Kings,Brooklyn,55,41
061/55,Kings,Brooklyn,55,42
062/55,Kings,Brooklyn,55,42
063/55,Kings,Brooklyn,55,42
064/55,Kings,Brooklyn,55,41
065/55,Kings,Brooklyn,55,41
066/55,Kings,Brooklyn,55,41
067/55,Kings,Brooklyn,55,41
068/55,Kings,Brooklyn,55,41
069/55,Kings,Brooklyn,55,41
070/55,Kings,Brooklyn,55,41
071/55,Kings,Brooklyn,55,41
072/55,Kings,Brooklyn,55,41
073/55,Kings,Brooklyn,55,42
074/55,Kings,Brooklyn,55,42
075/55,Kings,Brooklyn,55,42
076/55,Kings,Brooklyn,55,41
077/55,Kings,Brooklyn,55,41
078/55,Kings,Brooklyn,55,41
079/55,Kings,Brooklyn,55,41
080/55,Kings,Brooklyn,55,41
081/55,Kings,Brooklyn,55,41
082/55,Kings,Brooklyn,55,41
083/55,Kings,Brooklyn,55,36
084/55,Kings,Brooklyn,55,41
085/55,Kings,Brooklyn,55,41
086/55,Kings,Brooklyn,55,41
087/55,Kings,Brooklyn,55,41
088/55,Kings,Brooklyn,55,41
089/55,Kings,Brooklyn,55,41
090/55,Kings,Brooklyn,55,41
091/55,Kings,Brooklyn,55,41
092/55,Kings,Brooklyn,55,41
093/55,Kings,Brooklyn,55,41
094/55,Kings,Brooklyn,55,41
095/55,Kings,Brooklyn,55,41
096/55,Kings,Brooklyn,55,41
097/55,Kings,Brooklyn,55,41
098/55,Kings,Brooklyn,55,42
099/55,Kings,Brooklyn,55,42
100/55,Kings,Brooklyn,55,36
101/55,Kings,Brooklyn,55,36
102/55,Kings,Brooklyn,55,36
103/55,Kings,Brooklyn,55,41
104/55,Kings,Brooklyn,55,41
105/55,Kings,Brooklyn,55,41
106/55,Kings,Brooklyn,55,41
107/55,Kings,Brooklyn,55,41
108/55,Kings,Brooklyn,55,41
109/55,Kings,Brooklyn,55,41
110/55,Kings,Brooklyn,55,41
001/56,Kings,Brooklyn,56,36
002/56,Kings,Brooklyn,56,36
003/56,Kings,Brooklyn,56,36
004/56,Kings,Brooklyn,56,36
005/56,Kings,Brooklyn,56,36
006/56,Kings,Brooklyn,56,36
007/56,Kings,Brooklyn,56,36
008/56,Kings,Brooklyn,56,36
009/56,Kings,Brooklyn,56,36
010/56,Kings,Brooklyn,56,36
011/56,Kings,Brooklyn,56,36
012/56,Kings,Brooklyn,56,36
013/56,Kings,Brooklyn,56,36
014/56,Kings,Brooklyn,56,36
015/56,Kings,Brooklyn,56,36
016/56,Kings,Brooklyn,56,36
017/56,Kings,Brooklyn,56,36
018/56,Kings,Brooklyn,56,36
019/56,Kings,Brooklyn,56,36
020/56,Kings,Brooklyn,56,36
021/56,Kings,Brooklyn,56,36
022/56,Kings,Brooklyn,56,36
023/56,Kings,Brooklyn,56,36
024/56,Kings,Brooklyn,56,36
025/56,Kings,Brooklyn,56,36
026/56,Kings,Brooklyn,56,36
027/56,Kings,Brooklyn,56,36
028/56,Kings,Brooklyn,56,36
029/56,Kings,Brooklyn,56,36
030/56,Kings,Brooklyn,56,36
031/56,Kings,Brooklyn,56,41
032/56,Kings,Brooklyn,56,36
033/56,Kings,Brooklyn,56,36
034/56,Kings,Brooklyn,56,36
035/56,Kings,Brooklyn,56,36
036/56,Kings,Brooklyn,56,36
037/56,Kings,Brooklyn,56,36
038/56,Kings,Brooklyn,56,36
039/56,Kings,Brooklyn,56,36
040/56,Kings,Brooklyn,56,36
041/56,Kings,Brooklyn,56,36
042/56,Kings,Brooklyn,56,36
043/56,Kings,Brooklyn,56,36
044/56,Kings,Brooklyn,56,41
045/56,Kings,Brooklyn,56,36
046/56,Kings,Brooklyn,56,41
047/56,Kings,Brooklyn,56,36
048/56,Kings,Brooklyn,56,41
049/56,Kings,Brooklyn,56,36
050/56,Kings,Brooklyn,56,36
051/56,Kings,Brooklyn,56,36
052/56,Kings,Brooklyn,56,36
053/56,Kings,Brooklyn,56,36
054/56,Kings,Brooklyn,56,36
055/56,Kings,Brooklyn,56,36
056/56,Kings,Brooklyn,56,36
057/56,Kings,Brooklyn,56,36
058/56,Kings,Brooklyn,56,36
059/56,Kings,Brooklyn,56,36
060/56,Kings,Brooklyn,56,36
061/56,Kings,Brooklyn,56,41
062/56,Kings,Brooklyn,56,36
063/56,Kings,Brooklyn,56,41
064/56,Kings,Brooklyn,56,41
065/56,Kings,Brooklyn,56,36
066/56,Kings,Brooklyn,56,41
067/56,Kings,Brooklyn,56,35
068/56,Kings,Brooklyn,56,36
069/56,Kings,Brooklyn,56,36
070/56,Kings,Brooklyn,56,36
071/56,Kings,Brooklyn,56,36
072/56,Kings,Brooklyn,56,36
073/56,Kings,Brooklyn,56,35
074/56,Kings,Brooklyn,56,36
075/56,Kings,Brooklyn,56,36
076/56,Kings,Brooklyn,56,35
077/56,Kings,Brooklyn,56,35
078/56,Kings,Brooklyn,56,35
079/56,Kings,Brooklyn,56,36
080/56,Kings,Brooklyn,56,36
081/56,Kings,Brooklyn,56,36
082/56,Kings,Brooklyn,56,36
083/56,Kings,Brooklyn,56,41
084/56,Kings,Brooklyn,56,36
085/56,Kings,Brooklyn,56,36
086/56,Kings,Brooklyn,56,36
087/56,Kings,Brooklyn,56,36
088/56,Kings,Brooklyn,56,36
089/56,Kings,Brooklyn,56,41
090/56,Kings,Brooklyn,56,36
091/56,Kings,Brooklyn,56,36
092/56,Kings,Brooklyn,56,36
001/57,Kings,Brooklyn,57,35
002/57,Kings,Brooklyn,57,35
003/57,Kings,Brooklyn,57,35
004/57,Kings,Brooklyn,57,33
005/57,Kings,Brooklyn,57,33
006/57,Kings,Brooklyn,57,35
007/57,Kings,Brooklyn,57,35
008/57,Kings,Brooklyn,57,35
009/57,Kings,Brooklyn,57,35
010/57,Kings,Brooklyn,57,35
011/57,Kings,Brooklyn,57,35
012/57,Kings,Brooklyn,57,35
013/57,Kings,Brooklyn,57,35
014/57,Kings,Brooklyn,57,35
015/57,Kings,Brooklyn,57,35
016/57,Kings,Brooklyn,57,35
017/57,Kings,Brooklyn,57,35
018/57,Kings,Brooklyn,57,35
019/57,Kings,Brooklyn,57,33
020/57,Kings,Brooklyn,57,33
021/57,Kings,Brooklyn,57,36
022/57,Kings,Brooklyn,57,33
023/57,Kings,Brooklyn,57,35
024/57,Kings,Brooklyn,57,35
025/57,Kings,Brooklyn,57,35
026/57,Kings,Brooklyn,57,35
027/57,Kings,Brooklyn,57,35
028/57,Kings,Brooklyn,57,35
029/57,Kings,Brooklyn,57,35
030/57,Kings,Brooklyn,57,35
031/57,Kings,Brooklyn,57,35
032/57,Kings,Brooklyn,57,35
033/57,Kings,Brooklyn,57,35
034/57,Kings,Brooklyn,57,35
035/57,Kings,Brooklyn,57,35
036/57,Kings,Brooklyn,57,36
037/57,Kings,Brooklyn,57,36
038/57,Kings,Brooklyn,57,35
039/57,Kings,Brooklyn,57,35
040/57,Kings,Brooklyn,57,35
041/57,Kings,Brooklyn,57,35
042/57,Kings,Brooklyn,57,35
043/57,Kings,Brooklyn,57,35
044/57,Kings,Brooklyn,57,35
045/57,Kings,Brooklyn,57,35
046/57,Kings,Brooklyn,57,35
047/57,Kings,Brooklyn,57,35
048/57,Kings,Brooklyn,57,35
049/57,Kings,Brooklyn,57,35
050/57,Kings,Brooklyn,57,35
051/57,Kings,Brooklyn,57,36
052/57,Kings,Brooklyn,57,36
053/57,Kings,Brooklyn,57,36
054/57,Kings,Brooklyn,57,35
055/57,Kings,Brooklyn,57,36
056/57,Kings,Brooklyn,57,36
057/57,Kings,Brooklyn,57,36
058/57,Kings,Brooklyn,57,36
059/57,Kings,Brooklyn,57,35
060/57,Kings,Brooklyn,57,35
061/57,Kings,Brooklyn,57,35
062/57,Kings,Brooklyn,57,35
063/57,Kings,Brooklyn,57,35
064/57,Kings,Brooklyn,57,35
065/57,Kings,Brooklyn,57,35
066/57,Kings,Brooklyn,57,35
067/57,Kings,Brooklyn,57,35
068/57,Kings,Brooklyn,57,35
069/57,Kings,Brooklyn,57,35
070/57,Kings,Brooklyn,57,35
071/57,Kings,Brooklyn,57,35
072/57,Kings,Brooklyn,57,35
073/57,Kings,Brooklyn,57,35
074/57,Kings,Brooklyn,57,35
075/57,Kings,Brooklyn,57,35
076/57,Kings,Brooklyn,57,35
077/57,Kings,Brooklyn,57,35
078/57,Kings,Brooklyn,57,35
079/57,Kings,Brooklyn,57,35
080/57,Kings,Brooklyn,57,35
081/57,Kings,Brooklyn,57,35
082/57,Kings,Brooklyn,57,35
083/57,Kings,Brooklyn,57,35
084/57,Kings,Brooklyn,57,35
085/57,Kings,Brooklyn,57,35
086/57,Kings,Brooklyn,57,35
087/57,Kings,Brooklyn,57,35
088/57,Kings,Brooklyn,57,35
089/57,Kings,Brooklyn,57,35
090/57,Kings,Brooklyn,57,35
091/57,Kings,Brooklyn,57,35
092/57,Kings,Brooklyn,57,35
093/57,Kings,Brooklyn,57,35
094/57,Kings,Brooklyn,57,33
095/57,Kings,Brooklyn,57,35
096/57,Kings,Brooklyn,57,35
097/57,Kings,Brooklyn,57,35
098/57,Kings,Brooklyn,57,35
099/57,Kings,Brooklyn,57,36
100/57,Kings,Brooklyn,57,36
101/57,Kings,Brooklyn,57,36
102/57,Kings,Brooklyn,57,33
103/57,Kings,Brooklyn,57,35
104/57,Kings,Brooklyn,57,35
105/57,Kings,Brooklyn,57,35
001/58,Kings,Brooklyn,58,41
002/58,Kings,Brooklyn,58,41
003/58,Kings,Brooklyn,58,41
004/58,Kings,Brooklyn,58,41
005/58,Kings,Brooklyn,58,41
006/58,Kings,Brooklyn,58,41
007/58,Kings,Brooklyn,58,41
008/58,Kings,Brooklyn,58,41
009/58,Kings,Brooklyn,58,41
010/58,Kings,Brooklyn,58,41
011/58,Kings,Brooklyn,58,41
012/58,Kings,Brooklyn,58,41
013/58,Kings,Brooklyn,58,41
014/58,Kings,Brooklyn,58,41
015/58,Kings,Brooklyn,58,41
016/58,Kings,Brooklyn,58,45
017/58,Kings,Brooklyn,58,45
018/58,Kings,Brooklyn,58,45
019/58,Kings,Brooklyn,58,45
020/58,Kings,Brooklyn,58,45
021/58,Kings,Brooklyn,58,45
022/58,Kings,Brooklyn,58,45
023/58,Kings,Brooklyn,58,45
024/58,Kings,Brooklyn,58,45
025/58,Kings,Brooklyn,58,45
026/58,Kings,Brooklyn,58,45
027/58,Kings,Brooklyn,58,45
028/58,Kings,Brooklyn,58,45
029/58,Kings,Brooklyn,58,45
030/58,Kings,Brooklyn,58,45
031/58,Kings,Brooklyn,58,45
032/58,Kings,Brooklyn,58,45
033/58,Kings,Brooklyn,58,45
034/58,Kings,Brooklyn,58,45
035/58,Kings,Brooklyn,58,45
036/58,Kings,Brooklyn,58,41
037/58,Kings,Brooklyn,58,45
038/58,Kings,Brooklyn,58,45
039/58,Kings,Brooklyn,58,45
040/58,Kings,Brooklyn,58,41
041/58,Kings,Brooklyn,58,45
042/58,Kings,Brooklyn,58,45
043/58,Kings,Brooklyn,58,45
044/58,Kings,Brooklyn,58,45
045/58,Kings,Brooklyn,58,41
046/58,Kings,Brooklyn,58,41
047/58,Kings,Brooklyn,58,41
048/58,Kings,Brooklyn,58,41
049/58,Kings,Brooklyn,58,45
050/58,Kings,Brooklyn,58,45
051/58,Kings,Brooklyn,58,46
052/58,Kings,Brooklyn,58,42
053/58,Kings,Brooklyn,58,42
054/58,Kings,Brooklyn,58,42
055/58,Kings,Brooklyn,58,42
056/58,Kings,Brooklyn,58,42
057/58,Kings,Brooklyn,58,46
058/58,Kings,Brooklyn,58,42
059/58,Kings,Brooklyn,58,46
060/58,Kings,Brooklyn,58,46
061/58,Kings,Brooklyn,58,42
062/58,Kings,Brooklyn,58,42
063/58,Kings,Brooklyn,58,42
064/58,Kings,Brooklyn,58,42
065/58,Kings,Brooklyn,58,46
066/58,Kings,Brooklyn,58,42
067/58,Kings,Brooklyn,58,42
068/58,Kings,Brooklyn,58,42
069/58,Kings,Brooklyn,58,42
070/58,Kings,Brooklyn,58,46
071/58,Kings,Brooklyn,58,46
072/58,Kings,Brooklyn,58,42
073/58,Kings,Brooklyn,58,42
074/58,Kings,Brooklyn,58,46
075/58,Kings,Brooklyn,58,46
076/58,Kings,Brooklyn,58,46
077/58,Kings,Brooklyn,58,46
078/58,Kings,Brooklyn,58,46
079/58,Kings,Brooklyn,58,46
080/58,Kings,Brooklyn,58,45
081/58,Kings,Brooklyn,58,45
082/58,Kings,Brooklyn,58,46
083/58,Kings,Brooklyn,58,45
084/58,Kings,Brooklyn,58,41
085/58,Kings,Brooklyn,58,41
086/58,Kings,Brooklyn,58,45
001/59,Kings,Brooklyn,59,46
002/59,Kings,Brooklyn,59,45
003/59,Kings,Brooklyn,59,45
004/59,Kings,Brooklyn,59,45
005/59,Kings,Brooklyn,59,46
006/59,Kings,Brooklyn,59,46
007/59,Kings,Brooklyn,59,46
008/59,Kings,Brooklyn,59,46
009/59,Kings,Brooklyn,59,42
